code_region,nom_region,meilleure_estimation_des_locaux_t2_2022,annee,trimestre,nombre_de_logements_raccordables
,Bretagne,2237897.5016156817,2020,2,725173.0
,Nouvelle-Aquitaine,4142970.690017572,2020,2,1390524.0
,Occitanie,4255336.006700608,2020,2,1559112.0
,Auvergne-Rhône-Alpes,5338955.683308109,2020,2,2451317.0
,Provence-Alpes-Côte d'Azur,3656486.868976288,2020,2,1765018.0
,Corse,288810.1737909364,2020,2,75031.0
,Île-de-France,7180451.388412536,2020,3,5891707.0
,Centre-Val de Loire,1623810.9022613915,2020,3,735546.0
,Bourgogne-Franche-Comté,1825880.4693454427,2020,3,587307.0
,Normandie,2083571.8925923829,2020,3,876586.0
,Hauts-de-France,3288929.5296595893,2020,3,2311923.0
,Grand Est,3379412.494233274,2020,3,1639875.0
,Pays de la Loire,2403745.1265702206,2020,3,1001894.0
,Bretagne,2237897.5016156817,2020,3,773834.0
,Nouvelle-Aquitaine,4142970.690017572,2020,3,1523243.0
,Occitanie,4255336.006700608,2020,3,1739071.0
,Auvergne-Rhône-Alpes,5338955.683308109,2020,3,2595534.0
,Provence-Alpes-Côte d'Azur,3656486.868976288,2020,3,1924782.0
,Corse,288810.1737909364,2020,3,85788.0
,Île-de-France,7180451.388412536,2020,4,6140559.0
,Centre-Val de Loire,1623810.9022613915,2020,4,814654.0
,Bourgogne-Franche-Comté,1825880.4693454427,2020,4,669654.0
,Normandie,2083571.8925923829,2020,4,983879.0
,Hauts-de-France,3288929.5296595893,2020,4,2482141.0
,Grand Est,3379412.494233274,2020,4,1818769.0
,Pays de la Loire,2403745.1265702206,2020,4,1121579.0
,Bretagne,2237897.5016156817,2020,4,827448.0
,Nouvelle-Aquitaine,4142970.690017572,2020,4,1729862.0
,Occitanie,4255336.006700608,2020,4,2005192.0
,Auvergne-Rhône-Alpes,5338955.683308109,2020,4,2791644.0
,Provence-Alpes-Côte d'Azur,3656486.868976288,2020,4,2108535.0
,Corse,288810.1737909364,2020,4,106792.0
,Île-de-France,7180451.388412536,2021,1,6256065.0
,Centre-Val de Loire,1623810.9022613915,2021,1,874783.0
,Bourgogne-Franche-Comté,1825880.4693454427,2021,1,728365.0
,Normandie,2083571.8925923829,2021,1,1042986.0
,Hauts-de-France,3288929.5296595893,2021,1,2603221.0
,Grand Est,3379412.494233274,2021,1,1968604.0
,Pays de la Loire,2403745.1265702206,2021,1,1199224.0
,Bretagne,2237897.5016156817,2021,1,866724.0
,Nouvelle-Aquitaine,4142970.690017572,2021,1,1877912.0
,Occitanie,4255336.006700608,2021,1,2216265.0
,Auvergne-Rhône-Alpes,5338955.683308109,2021,1,2931376.0
,Provence-Alpes-Côte d'Azur,3656486.868976288,2021,1,2266297.0
,Corse,288810.1737909364,2021,1,115081.0
,Île-de-France,7180451.388412536,2021,2,6388595.5
,Centre-Val de Loire,1623810.9022613915,2021,2,936477.0
,Bourgogne-Franche-Comté,1825880.4693454427,2021,2,788022.0
,Normandie,2083571.8925923829,2021,2,1124670.0
,Hauts-de-France,3288929.5296595893,2021,2,2714114.0
,Grand Est,3379412.494233274,2021,2,2142218.0
,Pays de la Loire,2403745.1265702206,2021,2,1298680.0
,Bretagne,2237897.5016156817,2021,2,909823.0
,Nouvelle-Aquitaine,4142970.690017572,2021,2,2076272.0
,Occitanie,4255336.006700608,2021,2,2443334.0
,Auvergne-Rhône-Alpes,5338955.683308109,2021,2,3088595.0
,Provence-Alpes-Côte d'Azur,3656486.868976288,2021,2,2401454.0
,Corse,288810.1737909364,2021,2,127394.0
,Île-de-France,7180451.388412536,2021,3,6477851.5
,Centre-Val de Loire,1623810.9022613915,2021,3,989935.0
,Bourgogne-Franche-Comté,1825880.4693454427,2021,3,839430.0
,Normandie,2083571.8925923829,2021,3,1192944.0
,Hauts-de-France,3288929.5296595893,2021,3,2803596.0
,Grand Est,3379412.494233274,2021,3,2296506.0
,Pays de la Loire,2403745.1265702206,2021,3,1392607.0
,Bretagne,2237897.5016156817,2021,3,939689.0
,Nouvelle-Aquitaine,4142970.690017572,2021,3,2234963.0
,Occitanie,4255336.006700608,2021,3,2651235.0
,Auvergne-Rhône-Alpes,5338955.683308109,2021,3,3209414.0
,Provence-Alpes-Côte d'Azur,3656486.868976288,2021,3,2499742.0
,Corse,288810.1737909364,2021,3,134861.0
,Île-de-France,7180451.388412536,2021,4,6563019.0
,Centre-Val de Loire,1623810.9022613915,2021,4,1083154.0
,Bourgogne-Franche-Comté,1825880.4693454427,2021,4,937754.0
,Normandie,2083571.8925923829,2021,4,1267859.0
,Hauts-de-France,3288929.5296595893,2021,4,2891166.0
,Grand Est,3379412.494233274,2021,4,2465238.0
,Pays de la Loire,2403745.1265702206,2021,4,1506947.0
,Bretagne,2237897.5016156817,2021,4,964922.0
,Nouvelle-Aquitaine,4142970.690017572,2021,4,2411013.0
,Occitanie,4255336.006700608,2021,4,2857486.0
,Auvergne-Rhône-Alpes,5338955.683308109,2021,4,3366070.0
,Provence-Alpes-Côte d'Azur,3656486.868976288,2021,4,2599422.0
,Corse,288810.1737909364,2021,4,151545.0
,Île-de-France,7180451.388412536,2022,1,6618410.0
,Centre-Val de Loire,1623810.9022613915,2022,1,1140923.0
,Bourgogne-Franche-Comté,1825880.4693454427,2022,1,1001651.0
,Normandie,2083571.8925923829,2022,1,1322995.0
,Hauts-de-France,3288929.5296595893,2022,1,2926694.0
,Grand Est,3379412.494233274,2022,1,2611262.0
,Pays de la Loire,2403745.1265702206,2022,1,1613691.0
,Bretagne,2237897.5016156817,2022,1,998937.0
,Nouvelle-Aquitaine,4142970.690017572,2022,1,2553101.0
,Occitanie,4255336.006700608,2022,1,3026229.0
,Auvergne-Rhône-Alpes,5338955.683308109,2022,1,3482279.0
,Provence-Alpes-Côte d'Azur,3656486.868976288,2022,1,2693685.0
,Corse,288810.1737909364,2022,1,163512.0
,Île-de-France,7180451.388412536,2022,2,6669618.0
,Centre-Val de Loire,1623810.9022613915,2022,2,1229247.0
,Bourgogne-Franche-Comté,1825880.4693454427,2022,2,1079145.0
,Normandie,2083571.8925923829,2022,2,1405861.0
,Hauts-de-France,3288929.5296595893,2022,2,2962816.0
,Grand Est,3379412.494233274,2022,2,2743073.0
,Pays de la Loire,2403745.1265702206,2022,2,1724117.0
,Bretagne,2237897.5016156817,2022,2,1037847.0
,Nouvelle-Aquitaine,4142970.690017572,2022,2,2716112.0
,Occitanie,4255336.006700608,2022,2,3193367.0
,Auvergne-Rhône-Alpes,5338955.683308109,2022,2,3596948.0
,Provence-Alpes-Côte d'Azur,3656486.868976288,2022,2,2794805.0
,Corse,288810.1737909364,2022,2,175247.0
